raceId,driverId,total_pit_stops
841,153,3
841,30,2
841,17,3
841,4,3
841,13,3
841,22,4
841,20,2
841,814,2
841,816,2
841,67,2
841,2,2
841,1,2
841,808,2
841,3,1
841,155,2
841,16,2
841,15,2
841,18,3
841,153,3
841,5,1
841,30,2
841,10,1
841,18,3
841,815,1
841,22,4
841,17,3
841,4,3
841,22,4
841,67,2
841,2,2
841,13,3
841,155,2
841,20,2
841,1,2
841,153,3
841,808,2
841,814,2
841,18,3
841,16,2
841,15,2
841,816,2
841,17,3
841,22,4
841,4,3
841,13,3
842,16,3
842,22,2
842,17,4
842,814,3
842,1,4
842,20,3
842,2,3
842,18,3
842,13,3
842,15,1
842,4,4
842,30,3
842,808,3
842,67,3
842,3,3
842,5,2
842,153,2
842,16,3
842,155,2
842,815,1
842,10,2
842,816,2
842,24,3
842,22,2
842,67,3
842,17,4
842,18,3
842,1,4
842,814,3
842,20,3
842,4,4
842,2,3
842,13,3
842,808,3
842,30,3
842,3,3
842,17,4
842,153,2
842,16,3
842,67,3
842,5,2
842,10,2
842,816,2
842,155,2
842,1,4
842,814,3
842,18,3
842,13,3
842,2,3
842,24,3
842,3,3
842,20,3
842,4,4
842,30,3
842,17,4
842,808,3
842,4,4
842,24,3
842,1,4
843,153,1
843,24,3
843,30,3
843,17,3
843,813,3
843,814,2
843,3,3
843,67,3
843,18,3
843,20,2
843,155,2
843,13,2
843,1,3
843,16,3
843,4,2
843,815,4
843,22,2
843,67,3
843,10,3
843,808,2
843,2,2
843,5,2
843,15,2
843,816,2
843,24,3
843,39,1
843,18,3
843,3,3
843,1,3
843,17,3
843,813,3
843,30,3
843,10,3
843,16,3
843,155,2
843,2,2
843,20,2
843,4,2
843,814,2
843,13,2
843,67,3
843,816,2
843,22,2
843,815,4
843,18,3
843,808,2
843,1,3
843,3,3
843,30,3
843,17,3
843,10,3
843,5,2
843,813,3
843,15,2
843,24,3
843,16,3
843,815,4
843,815,4
844,815,4
844,30,4
844,808,4
844,13,4
844,1,4
844,67,3
844,17,4
844,4,4
844,3,4
844,2,4
844,22,3
844,16,3
844,20,4
844,814,4
844,813,4
844,18,3
844,155,3
844,153,4
844,15,3
844,30,4
